,Max Temp:,Mean Temp:,Min Temp:,Snow On Ground:,Total Percipitation:,Total Rain:,Total Snow:
2016-01-01,-0.3,-2.3,-4.2,0,0.8,0.0,0.8
2016-01-02,0.3,-2.0,-4.3,0,0.0,0.0,0.0
2016-01-03,1.6,-5.0,-11.6,0,0.0,0.0,0.0
2016-01-04,-11.2,-13.3,-15.4,0,0.0,0.0,0.0
2016-01-05,-2.6,-8.9,-15.2,0,0.0,0.0,0.0
2016-01-06,2.4,-2.2,-6.8,0,0.0,0.0,0.0
2016-01-07,4.4,-0.5,-5.3,0,0.0,0.0,0.0
2016-01-08,4.1,-0.8,-5.6,0,2.8,2.8,0.0
2016-01-09,8.6,5.7,2.8,0,2.0,2.0,0.0
2016-01-10,6.8,0.2,-6.5,0,18.4,18.2,0.2
2016-01-11,-5.9,-8.2,-10.5,0,0.2,0.2,0.0
2016-01-12,-1.9,-5.8,-9.7,2,4.4,0.0,5.0
2016-01-13,-7.0,-8.8,-10.5,5,0.4,0.0,0.4
2016-01-14,-2.1,-5.3,-8.5,5,0.2,0.0,0.2
2016-01-15,4.2,0.6,-3.0,2,1.8,1.8,0.0
2016-01-16,3.5,-0.5,-4.4,0,0.8,0.8,0.0
2016-01-17,0.1,-5.3,-10.6,0,0.0,0.0,0.0
2016-01-18,-7.8,-9.8,-11.8,2,2.2,0.0,2.4
2016-01-19,-3.9,-9.2,-14.5,1,0.0,0.0,0.0
2016-01-20,-3.9,-6.0,-8.1,1,0.0,0.0,0.0
2016-01-21,-3.8,-6.9,-10.0,1,0.4,0.0,0.6
2016-01-22,-2.2,-7.3,-12.4,1,0.0,0.0,0.0
2016-01-23,-3.7,-7.5,-11.2,0,0.0,0.0,0.0
2016-01-24,-0.8,-5.9,-11.0,0,0.0,0.0,0.0
2016-01-25,4.0,1.4,-1.3,0,0.0,0.0,0.0
2016-01-26,6.6,3.5,0.4,0,0.2,0.2,0.0
2016-01-27,1.0,-1.1,-3.2,0,0.2,0.0,0.2
2016-01-28,1.6,-0.1,-1.8,0,1.0,0.0,0.8
2016-01-29,-0.3,-5.5,-10.7,1,0.0,0.0,0.0
2016-01-30,5.9,-1.3,-8.4,0,0.0,0.0,0.0
2016-01-31,10.6,5.7,0.7,0,2.6,2.6,0.0
2016-02-01,8.8,4.1,-0.6,0,0.0,0.0,0.0
2016-02-02,2.8,0.0,-2.8,0,3.6,3.4,0.0
2016-02-03,16.0,8.9,1.7,0,2.8,2.8,0.0
2016-02-04,4.0,1.1,-1.8,0,0.0,0.0,0.0
2016-02-05,2.8,-0.2,-3.2,0,0.0,0.0,0.0
2016-02-06,4.3,1.1,-2.1,0,0.0,0.0,0.0
2016-02-07,6.1,1.8,-2.5,0,0.0,0.0,0.0
2016-02-08,5.2,1.7,-1.8,1,1.0,0.0,1.0
2016-02-09,1.4,-0.9,-3.1,2,1.2,0.0,1.8
2016-02-10,-1.1,-6.7,-12.2,1,1.0,0.0,1.0
2016-02-11,-9.6,-13.2,-16.7,1,0.0,0.0,0.0
